organization,yof,badge,zip_code,city,regular,retro,other,overtime,injured,detail,quinn,total,rank,ia_score,ia_sustained_conduct_unbecoming,ia_sustained_neg_duty,ia_sustained_respectful_treatment,ia_sustained_self_identification,ia_sustained_use_of_force,ia_sustained_details,ia_sustained_cases,ia_sustained_allegations,ia_cases,ia_allegations,field_contacts_count,incidents_count,complaints_count,swats_count,details_count,citations_count,articles_officers_count,rounded_total
District 14,14,1261,2032,East Walpole,98406.32,0,850,23178.24,0,44942,0,167376.56,ptl,2,0,0,0,0,0,1,1,1,4,5,0,125,4,0,121,0,0,165000
Youth Violence Strike Force,10,4384,2116,Boston,92077.38,0,4141.04,41406.12,0,11408,18415.44,167447.98,ptl,3,0,1,0,0,0,0,1,1,6,10,121,11,6,0,30,16,0,165000
Youth Violence Strike Force,8,5154,2129,Charlestown,92043.91,0,4091.04,32139.31,0,20792,18408.74,167475,ptl,0,0,0,0,0,0,0,0,0,0,0,54,14,0,0,57,0,0,165000
District 04,14,4627,2131,Roslindale,91930.52,0,800,25107.68,329.65,30912,18452.08,167531.93,ptl,0,0,0,0,0,0,0,0,0,0,0,35,288,0,0,107,3,0,170000
YOUTH VIOLENCE STRIKE FORCE,37,,2126,Mattapan,107498.45,0,10415.28,15307.14,0,34408,0,167628.87,ptl,3,0,1,0,0,0,0,3,4,3,4,3,0,3,0,88,0,1,170000
Sexual Assault Unit,14,1171,2136,Hyde Park,117189.94,0,850,20935.02,0,0,28679.03,167653.99,sgtdet,3,0,0,1,1,0,0,1,2,2,3,1,9,2,0,0,0,4,170000
District 02,5,977,2124,Boston,87780.19,0,800,42921.79,0,18676,17556.09,167734.07,ptl,1,0,0,0,0,0,0,0,0,2,2,8,351,2,0,82,1,0,170000
Evidence Control Unit,23,2086,2375,South Easton,124045.38,0,850,17969.51,0,477,24407.85,167749.74,sergt,2,0,0,0,0,0,0,1,1,1,2,0,1,1,0,1,2,0,170000
District 14,24,157,2061,Norwell,125507.13,0,800,5481.24,0,5512,30507.1,167807.47,sergt,3,0,0,1,1,0,0,1,2,4,8,3,25,4,0,13,0,7,170000
C-11 Detective,13,748,2332,Duxbury,96117.82,0,4215.35,46791.17,0,1472,19223.57,167819.91,det,2,0,0,0,0,0,0,1,2,6,7,106,10,6,0,2,0,8,170000
District 05,22,6710,2026,Dedham,106815.92,0,800,44408.84,0,15824,0,167848.76,ptl,0,0,0,0,0,0,0,0,0,1,3,3,133,1,0,49,2,0,170000
A-7 Detective,27,,1970,Salem,124959.43,0,1466.53,16432.39,0,0,24992.03,167850.38,sgtdet,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,170000
District 05,26,,2126,Mattapan,81655.05,0,800,10189.18,25605.5,49680,0,167929.73,ptl,5,0,0,0,0,0,2,3,3,7,7,1,90,7,0,148,4,0,170000
Crime Scene Response Unit,10,1757,2128,Boston,94754.82,0,4187.96,68631.65,0,368,0,167942.43,ptl,0,0,0,0,0,0,0,0,0,0,0,3,87,0,0,1,0,1,170000
District 18,35,,2703,Attleboro,123281.13,0,12541.45,2387.34,0,0,29754.1,167964.02,sergt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,170000
B-3 Detective,16,745,2136,Hyde Park,99468.07,0,4373.21,38067.47,0,1288,24866.97,168063.72,det,2,0,0,0,0,0,0,0,0,5,7,13,53,5,0,3,0,0,170000
Hackney Carriage Unit,34,,2130,Jamaica Plain,106505.51,0,10801.23,44436.36,0,6440,0,168183.1,ptl,0,0,0,0,0,0,0,0,0,1,1,0,70,1,0,13,4,0,170000
District 06,41,,2189,Weymouth,122312.57,0,800,19843.16,0,1431,23803.19,168189.92,sergt,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,3,1,2,170000
B-2 Detective,15,,2132,West Roxbury,97127.41,0,4165.35,42669.83,0,0,24281.91,168244.5,det,0,0,0,0,0,0,0,0,0,1,1,363,18,1,0,0,0,0,170000
District 01,25,,2119,Boston,103432.81,0,3155.68,54186.76,1934.34,5566,0,168275.59,ptl,1,0,0,0,0,0,0,0,0,3,4,1,64,3,0,17,1,0,170000
D-4 Detective,20,63,1867,Reading,97561.23,0,4323.21,42009.96,0,0,24390.29,168284.69,det,2,0,0,0,0,0,0,1,2,4,9,96,33,4,0,0,0,27,170000
District 02,13,,2126,Mattapan,98757.7,0,4115.26,33574.3,0,12144,19751.39,168342.65,ptl,3,0,1,0,0,0,0,1,1,1,1,0,5,1,0,34,0,3,170000
District 07,16,6744,1841,Lawrence,95380.02,0,800,47474.7,0,5658,19076.06,168388.78,ptl,1,0,0,0,0,0,0,0,0,4,6,0,25,4,0,18,5,0,170000
D-14 DCU SQUAD,20,,2136,Hyde Park,98406.32,0,4369.19,65617.35,0,0,0,168392.86,ptl,1,0,0,0,0,0,0,0,0,3,5,22,106,3,0,0,0,1,170000
A-7 Detective,25,,2136,Hyde Park,113707.18,0,1816.58,53131.07,0,0,0,168654.83,det,4,0,2,0,0,0,1,8,10,9,12,3,21,9,0,0,0,0,170000
Canine Unit,25,,2184,Braintree,98647.2,0,6089.02,14190.32,0,30130,19729.29,168785.83,ptl,2,0,0,0,0,0,0,1,1,2,2,0,0,2,0,102,46,0,170000
Bicycle Unit,13,,2132,West Roxbury,96557.78,0,2559.6,29035.08,0,36294,4376.98,168823.44,ptl,1,0,0,0,0,0,0,0,0,2,3,4,0,2,0,104,0,0,170000
District 07,25,2488,2124,Boston,96922.46,0,800,38759.17,0,22678,9692.21,168851.84,ptl,0,0,0,0,0,0,0,0,0,1,1,1,50,1,0,62,4,0,170000
Bicycle Unit,10,,2125,Boston,92077.38,0,4091.04,29993.98,0,24288,18415.44,168865.84,ptl,0,0,0,0,0,0,0,0,0,1,1,2,23,1,0,67,0,0,170000
Mobile Operations Patrol Unit,13,,2339,Hanover,92612.36,0,800,56747.6,0,184,18522.51,168866.47,ptl,0,0,0,0,0,0,0,0,0,0,0,0,2,0,34,1,14,1,170000
District 13,7,4071,2126,Mattapan,94202.32,0,800,14170.4,0,59846,0,169018.72,ptl,3,0,1,0,0,0,0,1,1,1,1,8,121,1,0,166,2,0,170000
District 01,32,,2176,Melrose,107498.45,0,800,19581.78,0,41216,0,169096.23,ptl,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,127,0,2,170000
Special Investigation Unit,26,,2124,Boston,102552.44,0,15455.15,23337.56,0,12742,15014.95,169102.1,det,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,38,0,0,170000
District 13,12,2100,2122,Boston,94156.49,0,800,3917.81,0,46736,23539.21,169149.51,sergt,0,0,0,0,0,0,0,0,0,0,0,2,43,0,0,130,1,2,170000
District 04,14,,2191,Weymouth,92260.17,0,5497.58,23351.73,0,29624,18452.08,169185.56,ptl,2,0,0,0,0,0,0,1,1,3,6,9,195,3,0,82,0,0,170000
District 01,23,1219,2128,Boston,103452.73,0,850,28098.68,1914.42,35144,0,169459.83,ptl,4,2,1,2,0,0,1,4,10,6,17,0,180,6,0,95,0,0,170000
Video Evidence Unit,14,,2169,Quincy,92260.17,0,4096.55,50047.68,0,0,23065.07,169469.47,ptl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,170000
Bureau of Community Engagement,24,876,2360,Plymouth,96922.46,0,8159.75,36690.12,0,8372,19384.45,169528.78,det,0,0,0,0,0,0,0,0,0,1,2,0,12,1,0,27,0,7,170000
District 13,24,42,2124,Boston,105367.15,0,800,56345.4,0,7084,0,169596.55,ptl,5,1,2,0,0,0,0,4,8,6,13,2,320,6,0,18,0,1,170000
District 03,19,2154,2125,Boston,80763.93,0,2844.68,20041.44,30817.8,35144,0,169611.85,sergt,1,0,0,0,0,0,0,0,0,3,6,2,125,3,0,107,1,3,170000
Mobile Operations Patrol Unit,7,961,2122,Boston,92408.88,0,800,49139.59,0,8924,18481.74,169754.21,ptl,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,36,16,1,170000
Medically Incapacitated Unit,16,,1730,Bedford,75254.6,0,9453.45,57846.4,17885.88,0,9314.19,169754.52,ptl,1,0,0,0,0,0,0,0,0,2,2,1,2,2,0,0,0,4,170000
District 13,26,1652,2136,Hyde Park,98656.67,0,800,45269.77,0,368,24664.17,169758.61,ptl,0,0,0,0,0,0,0,0,0,1,1,0,117,1,0,1,1,0,170000
Canine Unit,33,,2718,East Taunton,106387.81,0,16072.94,26140.2,0,21206,0,169806.95,ptl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,170000
District Attorney's Off Unit,31,,2072,Stoughton,111583.91,0,7284.9,50216.5,0,736,0,169821.31,det,1,0,0,0,0,0,0,0,0,3,7,0,0,3,0,2,0,0,170000
B-2 Detective,14,6487,2052,Medfield,95010.65,0,800,50618.51,0,4416,19002.19,169847.35,det,0,0,0,0,0,0,0,0,0,1,1,6,242,1,0,11,0,0,170000
Bureau of Community Engagement,14,,2136,Hyde Park,97245.41,0,8623.28,62892.99,0,1104,0,169865.68,ptl,1,0,0,0,0,0,0,0,0,3,3,8,139,3,0,3,1,1,170000
Explosive Ordinance Unit,27,,1880,Wakefield,99352.26,0,8789.87,21606.99,0,20286,19870.45,169905.57,ptl,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,56,0,38,170000
Harbor Patrol Unit,24,3245,2114,Boston,97658.57,0,850,37347.58,0,9660,24414.61,169930.76,ptl,3,1,0,0,0,0,0,1,1,5,8,0,2,5,0,36,4,0,170000
Special Investigation Unit,25,,2114,Boston,102552.44,0,4463.79,37287.04,0,0,25638.09,169941.36,det,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,170000
Bicycle Unit,25,586,2171,Quincy,98315.7,0,12709.79,27500.06,0,11822,19662.99,170010.54,ptl,3,0,0,0,0,0,0,1,1,2,2,6,1,2,0,35,1,1,170000
Crime Scene Response Unit,25,3040,2136,Hyde Park,105952.1,0,3300,60908.62,0,0,0,170160.72,ptl,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,2,170000
District 01,7,821,2132,West Roxbury,86588.34,0,850,38819.15,7613.98,36294,0,170165.47,ptl,1,0,0,0,0,0,0,0,0,4,5,148,296,4,0,102,10,2,170000
District 01,13,,2132,West Roxbury,92260.17,0,850,13516.94,0,45356,18452.08,170435.19,ptl,0,0,0,0,0,0,0,0,0,0,0,95,187,0,0,174,2,0,170000
Explosive Ordinance Unit,14,6502,2124,Boston,100636.13,0,4399.19,25753.04,0,39698,0,170486.36,ptl,0,0,0,0,0,0,0,0,0,0,0,1,47,0,0,112,0,2,170000
Bicycle Unit,13,,2339,Hanover,94156.49,0,2482.68,19179.75,0,45310,9415.73,170544.65,ptl,2,0,0,0,0,0,0,1,1,3,4,3,3,3,0,126,0,0,170000
District 06,16,2572,1778,Wayland,77916.29,0,850,37784.52,17138.23,27416,9505.53,170610.57,ptl,3,0,1,0,0,0,0,1,2,5,9,6,71,5,0,72,1,2,170000
District 14,13,2281,2081,Walpole,96480.86,0,850,21509.15,0,43056,8738.58,170634.59,ptl,0,0,0,0,0,0,0,0,0,0,0,36,211,0,0,115,0,0,170000
Youth Violence Strike Force,20,4548,2132,West Roxbury,108191.1,0,8049.19,25665.55,0,0,28825.48,170731.32,sergt,1,0,0,0,0,0,0,0,0,2,2,12,5,2,0,0,1,2,170000
District 07,23,3501,2128,Boston,98315.7,0,800,6646.04,0,45448,19662.99,170872.73,ptl,3,0,1,0,0,0,0,1,2,2,3,2,109,2,0,124,0,2,170000
District 11,13,6739,2136,Hyde Park,98406.32,0,800,59869.58,0,11822,0,170897.9,ptl,2,0,1,0,0,0,0,1,3,2,5,1,632,2,0,31,1,0,170000
Drug Control Unit,22,,2184,Braintree,102552.44,0,11593.52,30164.01,0,1104,25638.09,171052.06,det,1,0,0,0,0,0,0,0,0,3,5,0,9,3,0,3,0,1,170000
Fugitive Section,25,623,2132,West Roxbury,111583.91,0,4790.71,47631.05,0,7222,0,171227.67,det,2,0,0,0,0,0,0,0,0,5,7,3,9,5,0,23,0,2,170000
District 18,27,376,2090,Westwood,105161.92,0,850,26568.91,0,38732,0,171312.83,ptl,4,0,2,0,0,0,0,3,3,3,4,2,152,3,0,113,0,11,170000
District 11,7,1189,2132,West Roxbury,92077.38,0,800,13014.62,0,56304,9207.72,171403.72,ptl,0,0,0,0,0,0,0,0,0,1,1,2,220,1,0,158,1,0,170000
Mobile Operations Patrol Unit,24,,2766,Norton,96255.73,0,800,55142.53,0,0,19251.07,171449.33,ptl,1,0,0,0,0,0,0,0,0,2,2,0,4,2,77,0,0,0,170000
District 18,16,2479,2124,Boston,99756.27,0,800,61016.48,0,9936,0,171508.75,ptl,2,0,0,0,0,0,0,0,0,6,8,1,110,6,0,31,1,0,170000
District 13,29,,2122,Boston,121566.77,0,876.18,15624.75,0,3816,29754.1,171637.8,sergt,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,9,0,3,170000
Evidence Control Unit,8,1742,2124,Boston,91158.39,0,800,15572.56,1322.2,62836,0,171689.15,ptl,0,0,0,0,0,0,0,0,0,0,0,3,271,0,0,181,0,0,170000
Medically Incapacitated Unit,10,2309,2127,Boston,115567.27,0,800,21920.03,0,5194,28217.32,171698.62,sergt,0,0,0,0,0,0,0,0,0,0,0,9,115,0,0,12,0,0,170000
Dignitary Protection Unit,14,,2125,Boston,94156.49,0,5898.03,52948.57,0,0,18831.42,171834.51,ptl,2,0,0,0,0,0,0,0,0,7,11,142,0,7,0,0,0,1,170000
District 18,32,2325,2474,Arlington,106035.82,0,800,45804.04,0,19320,0,171959.86,ptl,4,1,1,0,0,1,0,3,4,3,5,3,361,3,0,60,6,0,170000
Homicide Unit,19,1476,2122,Boston,103852.44,0,800,46857.4,0,0,20510.59,172020.43,det,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,170000
Medically Incapacitated Unit,22,,2301,Brockton,97436.51,0,850,9725.97,0,44574,19487.15,172073.63,ptl,3,0,1,0,0,0,0,1,1,4,6,9,70,4,0,135,1,0,170000
Medically Incapacitated Unit,35,,2132,West Roxbury,97757.03,0,800,10939.38,8779.9,53820,0,172096.31,ptl,3,0,0,1,0,0,0,1,1,3,4,6,125,3,0,149,1,1,170000
District 14,12,4144,2132,West Roxbury,97954.54,0,800,24674.42,0,48760,0,172188.96,ptl,0,0,0,0,0,0,0,0,0,1,1,2,229,1,0,136,0,15,170000
Bicycle Unit,16,4319,2026,Dedham,67626.33,0,1039.29,23120.36,50873.4,0,29625,172284.38,sergt,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,0,6,170000
D-14 DCU SQUAD,13,905,2359,Pembroke,97770.12,0,850,53063.36,0,20654,0,172337.48,ptl,2,0,0,0,0,0,0,0,0,8,14,150,102,8,0,57,0,2,170000
District 06,26,,2136,Hyde Park,98315.7,0,800,34056.71,0,19504,19662.99,172339.4,ptl,4,0,0,0,0,0,0,3,5,7,13,13,91,7,0,55,3,1,170000
Firearms Analysis Unit,14,,2132,West Roxbury,98880.4,0,2561.61,36268.05,0,9982,24720.08,172412.14,det,0,0,0,0,0,0,0,0,0,1,1,0,10,1,0,32,0,0,170000
District 07,22,,1960,Peabody,97424.8,0,800,49456.45,0,15088,9742.46,172511.71,ptl,1,0,0,0,0,0,0,0,0,3,5,1,239,3,0,42,0,0,175000
Medically Incapacitated Unit,9,,2124,Boston,92754.18,0,800,59487.57,0,2208,17313.64,172563.39,ptl,0,0,0,0,0,0,0,0,0,0,0,27,207,0,0,6,0,0,175000
School Police,35,1764,2035,Foxboro,111583.91,0,16762.83,42953.17,0,1288,0,172587.91,det,1,0,0,0,0,0,0,0,0,2,2,0,4,2,0,5,0,23,175000
Homicide Unit,24,,2030,Dover,103180.66,0,4463.79,43222.72,0,1104,20636.24,172607.41,det,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,3,0,0,175000
Evidence Control Unit,13,6553,2124,Boston,98406.32,0,800,31847.91,0,41584,0,172638.23,ptl,0,0,0,0,0,0,0,0,0,1,1,17,126,1,0,117,1,1,175000
District 01,16,4527,2135,Brighton,76238.25,0,800,38773.81,31802.65,3657,21385.89,172657.6,sergt,0,0,0,0,0,0,0,0,0,0,0,12,85,0,0,10,0,1,175000
District 14,25,,2047,Humarock,97876.45,0,800,16649.26,0,47564,9787.63,172677.34,ptl,0,0,0,0,0,0,0,0,0,1,1,1,258,1,0,131,0,0,175000
Dignitary Protection Unit,12,4845,2124,Boston,73353.2,0,1855.76,28946.85,24898.66,43654,0,172708.47,ptl,0,0,0,0,0,0,0,0,0,0,0,9,86,0,0,107,1,2,175000
District 07,5,,2127,Boston,89595.67,0,800,44283.69,0,38088,0,172767.36,ptl,3,0,0,1,0,0,0,1,1,1,1,96,388,1,0,114,2,0,175000
District 06,23,,2119,Boston,106815.92,0,850,43454.83,0,21712,0,172832.75,ptl,2,0,0,0,0,0,1,7,7,13,13,2,72,13,0,59,8,2,175000
Medically Incapacitated Unit,25,5180,2124,Boston,0,0,20300.99,0,122027.17,0,30506.87,172835.03,sergt,0,0,0,0,0,0,0,0,0,1,2,0,0,1,13,0,0,0,175000
B-2 Detective,13,1714,2169,Quincy,96962.76,0,800,59998.5,0,828,14273.45,172862.71,det,1,0,0,0,0,0,0,0,0,2,2,1,17,2,0,3,0,2,175000
Crime Scene Response Unit,23,,2050,Marshfield,97396.58,0,800,50332.41,0,0,24349.29,172878.28,ptl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175000
Paid Detail Assignment Unit,33,2036,2379,West Bridgewater,106899.99,0,12279.98,27028.71,0,26726,0,172934.68,ptl,4,0,2,0,0,0,0,3,5,12,17,0,12,12,0,66,6,23,175000
District 01,16,,2184,Braintree,101226.86,0,6999.52,44519.04,0,0,20245.4,172990.82,sergt,0,0,0,0,0,0,0,0,0,0,0,3,55,0,0,0,0,2,175000
Mobile Operations Patrol Unit,13,,2364,Kingston,97127.92,0,800,73690.68,0,1380,0,172998.6,ptl,0,0,0,0,0,0,0,0,0,1,1,1,0,1,47,4,9,2,175000
District 01,12,3547,2186,Milton,94309.15,0,800,29798.22,0,37536,10602.22,173045.59,ptl,1,0,0,0,0,0,0,0,0,3,5,244,272,3,0,119,7,2,175000
District 18,16,,2301,Brockton,98136.15,0,800,39200.45,0,34914,0,173050.6,ptl,3,0,1,0,0,0,0,1,1,2,2,0,201,2,0,132,3,0,175000
Bicycle Unit,14,1720,2136,Hyde Park,98406.32,0,4369.19,28709.96,0,41630,0,173115.47,ptl,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,114,1,1,175000
District 01,26,,2169,Quincy,105367.15,0,15876.37,31269.5,0,20608,0,173121.02,ptl,4,0,2,0,0,0,0,2,4,8,13,0,70,8,0,111,0,0,175000
ADMINISTRATIVE LEAVE SECTION,32,,2184,Braintree,119143.95,0,18207.03,6140.69,0,0,29754.1,173245.77,sergt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,175000
District 13,12,,2136,Hyde Park,98273.37,0,800,50772.52,0,23552,0,173397.89,ptl,3,0,1,0,0,0,0,1,2,2,3,8,123,2,0,72,0,0,175000
Internal Affairs Division,24,,2186,Milton,120475.41,0,5047.87,24200.55,0,0,23681.96,173405.79,sergt,0,0,0,0,0,0,0,0,0,1,1,9,2,1,0,0,3,3,175000
Medically Incapacitated Unit,25,3416,2186,Milton,89269.71,0,4621.71,30227.5,17056.09,32246,0,173421.01,ptl,0,0,0,0,0,0,0,0,0,1,1,0,12,1,0,92,0,0,175000
District 07,5,1071,2127,Boston,89997.76,0,800,30442.65,0,52210,0,173450.41,ptl,3,1,1,0,0,0,0,1,2,1,2,8,249,1,0,146,3,0,175000
District 01,8,4656,2122,Boston,82812.06,0,800,36623.8,9668.53,43608,0,173512.39,ptl,0,0,0,0,0,0,0,0,0,1,1,16,253,1,0,150,13,1,175000
District 13,7,5142,2132,West Roxbury,85941.85,0,800,35984.14,5724.15,26864,18333.16,173647.3,ptl,0,0,0,0,0,0,0,0,0,1,1,8,197,1,0,72,0,1,175000
Crime Scene Response Unit,12,6421,2038,Franklin,98406.32,0,800,57493.95,0,17066,0,173766.27,ptl,2,0,0,0,0,0,0,1,1,1,1,21,249,1,0,63,2,0,175000
Medically Incapacitated Unit,35,,2375,South Easton,0,0,19260.91,0,128783.77,0,25756.71,173801.39,sgtdet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,175000
A-7 Detective,19,,2132,West Roxbury,102552.44,0,13165.28,37591.64,0,0,20510.59,173819.95,det,1,0,0,0,0,0,0,0,0,3,5,11,22,3,0,0,4,4,175000
District 11,23,,2184,Braintree,104690.5,0,800,6763.88,0,61640,0,173894.38,ptl,1,0,0,0,0,0,0,0,0,2,3,0,239,2,0,167,1,0,175000
District 07,8,1890,2128,Boston,90223.06,0,800,18260.01,0,46736,18044.62,174063.69,ptl,0,0,0,0,0,0,0,0,0,1,2,25,168,1,0,154,0,2,175000
Building Security Unit,32,787,2370,Rockland,99358.57,0,800,54135.94,0,0,19871.7,174166.21,ptl,4,0,3,0,0,0,0,4,5,5,9,0,160,5,0,0,0,5,175000
District 18,22,2501,2136,Hyde Park,104963.34,0,800,25186,0,43240,0,174189.34,ptl,1,0,0,0,0,0,0,0,0,4,5,9,509,4,0,130,2,0,175000
Homicide Unit,13,,2126,Mattapan,99593.2,0,800,49496.18,0,0,24654.53,174543.91,det,0,0,0,0,0,0,0,0,0,0,0,2,21,0,0,0,0,2,175000
Extended Sick Unit,12,2174,2136,Hyde Park,92612.36,0,4159.29,53521.63,0,1104,23153.15,174550.43,ptl,1,0,0,0,0,0,0,0,0,2,3,204,4,2,0,3,0,0,175000
Dignitary Protection Unit,10,1756,2124,Boston,90223.06,0,5282.67,61010.64,0,0,18044.62,174560.99,ptl,1,0,0,0,0,0,0,0,0,2,6,14,73,2,0,0,0,2,175000
Drug Control Unit,14,611,1702,Framingham,122826.32,0,800,27853.45,0,12349,10877.67,174706.44,sergt,0,0,0,0,0,0,0,0,0,1,1,9,49,1,0,27,1,1,175000
District 06,19,2176,2360,Plymouth,104119.91,0,850,30332.95,0,39422,0,174724.86,ptl,4,0,1,0,0,1,0,1,2,5,12,3,92,5,0,108,49,0,175000
Special Investigation Unit,23,,2121,Boston,105367.15,0,4619.09,64738.7,0,0,0,174724.94,ptl,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,175000
District 05,28,,2132,West Roxbury,83035.14,0,800,5925.86,15725.23,49496,19751.98,174734.21,ptl,0,0,0,0,0,0,0,0,0,0,0,1,162,0,0,145,0,1,175000
District 11,8,2283,2132,West Roxbury,92077.38,0,850,27102,0,36386,18415.44,174830.82,ptl,0,0,0,0,0,0,0,0,0,0,0,117,128,0,0,96,0,0,175000
C-11 Detective,14,1639,2132,West Roxbury,98618.2,0,7456.02,49054.68,0,0,19723.59,174852.49,det,2,0,0,0,0,0,0,0,0,8,8,29,27,8,0,0,0,1,175000
District 18,26,5115,2132,West Roxbury,126242.61,0,2678.34,10306.31,2654.92,1431,31568.28,174881.46,lieut,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,2,0,0,175000
Extended Sick Unit,12,445,2136,Hyde Park,94156.49,0,850,58310.93,0,2760,18831.42,174908.84,ptl,3,0,0,0,1,0,0,1,1,3,4,130,174,3,0,10,1,0,175000
District 14,15,4689,2114,Boston,121127.87,0,5521.86,18540.24,0,424,29421.35,175035.32,sergt,1,0,0,0,0,0,0,0,0,3,7,226,79,3,0,2,71,1,175000
District 03,10,4811,2127,Boston,115280.98,0,800,32542.88,0,4172,22251.22,175047.08,sergt,0,0,0,0,0,0,0,0,0,1,2,29,154,1,0,11,0,1,175000
S.O.R.I. Unit,34,,2127,Boston,97004.15,0,14664.22,12903.2,0,26312,24251.02,175134.59,ptl,1,0,0,0,0,0,0,0,0,3,3,0,0,3,0,140,36,2,175000
District 14,8,469,2135,Brighton,92480.59,0,800,65939.05,0,15916,0,175135.64,ptl,1,0,0,0,0,0,0,0,0,2,2,84,427,2,0,44,0,2,175000
Youth Violence Strike Force,5,1548,2136,Hyde Park,88700.62,0,800,45233.28,0,22678,17740.14,175152.04,ptl,0,0,0,0,0,0,0,0,0,0,0,40,317,0,0,63,15,1,175000
Family Assistance Unit,29,,2375,South Easton,102801.76,0,7847.39,18520.69,0,25576,20560.48,175306.32,det,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,68,0,0,175000
Medically Incapacitated Unit,21,,2359,Pembroke,0,0,20764.78,0,128785.04,0,25757.12,175306.94,lieut,1,0,0,0,0,0,0,0,0,2,3,0,0,2,23,0,0,2,175000
District 05,14,,2186,Milton,92573.72,0,4295.34,58695.4,0,10580,9257.44,175401.9,ptl,0,0,0,0,0,0,0,0,0,0,0,15,266,0,0,37,16,0,175000
Medically Incapacitated Unit,22,1662,2132,West Roxbury,98315.7,0,800,7858.57,0,58604,9831.56,175409.83,ptl,3,0,1,0,0,0,0,1,2,2,5,2,254,2,0,166,3,2,175000
Operations Division,15,4882,1887,Wilmington,99918.2,0,6134.82,49687.48,0,0,19723.59,175464.09,sergt,2,0,0,0,0,0,0,0,0,5,8,1,10,5,0,0,0,4,175000
District 07,23,,1880,Wakefield,98315.7,0,800,20100.72,0,31694,24579.02,175489.44,ptl,0,0,0,0,0,0,0,0,0,1,1,1,268,1,0,84,1,1,175000
Court Unit,31,,2184,Braintree,97004.15,0,6482.33,34061.56,0,13800,24251.02,175599.06,ptl,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,40,0,0,175000
District 05,34,,2132,West Roxbury,98555.97,0,800,45908.27,0,10626,19711.1,175601.34,ptl,0,0,0,0,0,0,0,0,0,1,1,5,175,1,0,29,1,0,175000
Evidence Control Unit,33,,2368,Randolph,98150.75,0,7772.1,41882.69,0,3312,24537.78,175655.32,ptl,0,0,0,0,0,0,0,0,0,1,1,1,5,1,0,10,0,1,175000
D-4 Detective,17,,2122,Boston,104737.17,0,5179.3,36611.83,0,2944,26184.37,175656.67,det,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,8,0,0,175000
Medically Incapacitated Unit,14,,2122,Boston,96775.72,0,4310.01,23314.07,0,51290,0,175689.8,ptl,1,0,0,0,0,0,0,0,0,3,4,132,189,3,0,155,1,1,175000
District 06,7,2562,2122,Boston,92527.45,0,850,55371.63,0,27048,0,175797.08,ptl,0,0,0,0,0,0,0,0,0,0,0,0,227,0,0,78,5,1,175000
D-4 Detective,29,,2131,Roslindale,105207,0,850,43128.1,0,368,26301.82,175854.92,det,2,0,0,0,0,0,0,0,0,6,7,0,21,6,0,1,0,0,175000
District 02,6,1624,2127,Boston,90151.12,0,850,65709.9,0,19228,0,175939.02,ptl,0,0,0,0,0,0,0,0,0,1,2,105,339,1,0,57,0,1,175000
Technology Services Division,37,428,1905,Lynn,97004.15,0,5999.08,45293.47,0,8280,19400.84,175977.54,ptl,3,0,1,0,0,0,0,1,1,1,1,0,85,1,0,21,0,0,175000
D.E.A. Task Force,27,,2136,Hyde Park,111583.91,0,14318.64,49017.06,0,1104,0,176023.61,det,0,0,0,0,0,0,0,0,0,1,1,3,35,1,0,3,0,2,175000
Domestic Violence Unit,9,,2132,West Roxbury,91459.21,0,800,26778.72,0,48714,8375.37,176127.3,det,0,0,0,0,0,0,0,0,0,0,0,101,238,0,0,149,1,0,175000
Crime Scene Response Unit,9,1524,2136,Hyde Park,91317.73,0,800,58149.07,0,7774,18263.48,176304.28,ptl,0,0,0,0,0,0,0,0,0,1,1,10,90,1,0,24,0,2,175000
District 13,7,,2124,Boston,79983.56,0,800,49200.53,14218.76,32154,0,176356.85,ptl,3,0,1,0,0,0,1,2,2,2,2,12,337,2,0,91,2,0,175000
